car_title,car_link,car_price,currency,years
Suzuki SX4 S-Cross,https://www.otomoto.pl/oferta/suzuki-sx4-s-cross-polski-salon-bezwypadkowy-faktura-vat-i-wlasciciel-aso-4x4-ID6Bqdgs.html#4b96ca4051,48 700,PLN,2015
Suzuki Swift V,https://www.otomoto.pl/oferta/suzuki-swift-polski-salon-bezwypadkowy-faktura-vat-i-wlasciciel-aso-i-ID6Bsv3C.html#4b96ca4051,31 800,PLN,2015
Suzuki Celerio,https://www.otomoto.pl/oferta/suzuki-celerio-polski-salon-bezwypadkowy-faktura-vat-i-wlasciciel-aso-ID6Bk8mG.html#4b96ca4051,23 500,PLN,2015
Suzuki SX4 S-Cross,https://www.otomoto.pl/oferta/suzuki-sx4-s-cross-krajowy-i-wlasciciel-4x4-grzane-siedzenia-polecam-ID6Br5CP.html#4b96ca4051,47 800,PLN,2015
Fiat Punto II,https://www.otomoto.pl/oferta/fiat-punto-ladne-punto-z-niemiec-z-klimatyzacja-ID6AjmQJ.html#4b96ca4051,5 500,PLN,2001
Toyota Corolla Seria,https://www.otomoto.pl/oferta/toyota-corolla-salon-polska-1-6vvti-comfort-z-gwar-fabryczna-do-vii-2020-ID6BeaOK.html#4b96ca4051,62 900,PLN,2017
Toyota Corolla Seria,https://www.otomoto.pl/oferta/toyota-corolla-salon-polska-1-6vvti-comfort-z-gwar-fabryczna-do-vii-2020-ID6BeaNi.html#4b96ca4051,61 900,PLN,2017
Toyota Corolla Seria,https://www.otomoto.pl/oferta/toyota-corolla-salon-polska-1-6vvti-comfort-z-gwar-fabryczna-do-vii-2020-ID6Be9Gg.html#4b96ca4051,61 900,PLN,2017
Toyota Corolla Seria,https://www.otomoto.pl/oferta/toyota-corolla-salon-polska-1-6vvti-comfort-z-gwar-fabryczna-do-vii-2020-ID6Be9EY.html#4b96ca4051,61 900,PLN,2017
Opel Insignia B,https://www.otomoto.pl/oferta/opel-insignia-grand-sport-2-0-4x4-260km-opc-line-elte-agr-brembo-salon-pl-aso-ID6B9VES.html#4b96ca4051,139 900,PLN,2017
Mercedes-Benz SL R107,https://www.otomoto.pl/oferta/mercedes-benz-sl-piekny-klasyczny-mercedes-jak-nowy-ID6BuHMQ.html#4b96ca4051,177 000,PLN,1988
Opel Corsa D,https://www.otomoto.pl/oferta/opel-corsa-opel-corsa-1-3-ecoflex-95km-navi-klimatronic-niski-przebieg-ID6BwmLS.html#4b96ca4051,23 500,PLN,2013
Citroën C5 III,https://www.otomoto.pl/oferta/citroen-c5-2-0-hdi-serwis-do-konca-manual-klimatronik-bezwypadkowy-kombi-ladny-ID6BuHLM.html#4b96ca4051,19 999,PLN,2008
BMW Seria 1 E87,https://www.otomoto.pl/oferta/bmw-seria-1-lift-3-drzwi-2-0-diesel-177-km-bi-xenon-stan-bdb-ID6BrliL.html#4b96ca4051,22 400,PLN,2007
Kia Sportage IV,https://www.otomoto.pl/oferta/kia-sportage-1-6-gdi-l-navi-kamera-bezwypadkowa-salon-polska-gwarancja-ID6ADTeo.html#4b96ca4051,75 900,PLN,2017
Opel Mokka,https://www.otomoto.pl/oferta/opel-mokka-x-elite-1-4t-at6-140km-salon-pl-fvat-23-aso-navi-ID6BuHLI.html#4b96ca4051,79 900,PLN,2018
Volkswagen Sharan II,https://www.otomoto.pl/oferta/volkswagen-sharan-highline-2-0-tdi-5-lat-gwarancji-7-miejscowy-bi-xenony-ID6AKgG8.html#4b96ca4051,145 900,PLN,2018
Ford Mondeo Mk5,https://www.otomoto.pl/oferta/ford-mondeo-total-2-0d-bi-turbo-210-km-st-skory-blis-kamera-sam-parkuje-ID6BbhBi.html#4b96ca4051,79 900,PLN,2015
Volkswagen Amarok,https://www.otomoto.pl/oferta/volkswagen-amarok-ID6BuHKB.html#4b96ca4051,75 000,PLN,2012
Mercedes-Benz Klasa C W205,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-i-wlasciciel-faktura-23-vat-salon-polska-naped-4-matic-panorama-ID6BwkdP.html#4b96ca4051,149 000,PLN,2015
Peugeot 307 II,https://www.otomoto.pl/oferta/peugeot-307-sw-2-0-hdi-auto-godne-polecenia-serwis-7-osob-ID6B8HFT.html#4b96ca4051,13 900,PLN,2006
Audi A6 C6,https://www.otomoto.pl/oferta/audi-a6-kombi-3-0-d-225km-manual-6-bixenon-quattro-navi-ID6BuHIo.html#4b96ca4051,26 900,PLN,2005
Opel Insignia A,https://www.otomoto.pl/oferta/opel-insignia-2-0cdti-160km-cosmo-czytanie-znakow-navi-bixenony-zarejestrowana-w-pl-ID6BrE04.html#4b96ca4051,20 900,PLN,2012
Nissan X-Trail II,https://www.otomoto.pl/oferta/nissan-x-trail-najmocniejsza-wersja-172km-6-biegow-perfekcyjny-stan-prywatnie-ID6zYGfL.html#4b96ca4051,26 900,PLN,2008
Mitsubishi Outlander II,https://www.otomoto.pl/oferta/mitsubishi-outlander-2-2did-177km-4x4-bogate-wyposazenie-7osobowy-xenony-pdc-hak-salon-pl-ID6BrE94.html#4b96ca4051,24 900,PLN,2011
Audi A4 B8,https://www.otomoto.pl/oferta/audi-a4-2-0-tdi-fv23-bezwypadek-pelen-serwis-ID6AFQht.html#4b96ca4051,69 900,PLN,2014
Volkswagen Golf Sportsvan,https://www.otomoto.pl/oferta/volkswagen-golf-sportsvan-highline-1-5-tsi-act-96-kw-130-km-manualna-6-biegowa-navi-acc-led-ID6AN1dW.html#4b96ca4051,94 900,PLN,2018
Subaru Forester III,https://www.otomoto.pl/oferta/subaru-forester-subaru-forester-biala-perla-fv-23-salon-polska-ID6zTMN0.html#4b96ca4051,37 000,PLN,2011
Toyota Land Cruiser III,https://www.otomoto.pl/oferta/toyota-land-cruiser-toyota-dla-mysliwski-mysliwski-terenowe-toyota-d4d-j90-ID6Btsv9.html#4b96ca4051,38 000,PLN,2002
BMW X6 E71,https://www.otomoto.pl/oferta/bmw-x6-salon-polska-1-wlasciciel-sewisowany-w-aso-stan-dobry-bezwypadkowy-ID6AFyRS.html#4b96ca4051,89 900,PLN,2010
Citroën C5 III,https://www.otomoto.pl/oferta/citroen-c5-2-0-hdi-full-opcja-ID6Bukm4.html#4b96ca4051,25 500,PLN,2008
Audi A4 B7,https://www.otomoto.pl/oferta/audi-a4-1-8t-163km-alu18-serwis-niski-przebieg-168kkm-ID6BwmL8.html#4b96ca4051,25 900,PLN,2005
car_title,car_link,car_price,currency,years
BMW Seria 5 F10,https://www.otomoto.pl/oferta/bmw-seria-5-luxury-line-ID6BwmKX.html#a1e7463c76,92 000,PLN,2013
Kia Rio II,https://www.otomoto.pl/oferta/kia-rio-sliczna-kia-rio-z-niemiec-bogate-wyposazenie-super-stan-ID6BwmJP.html#a1e7463c76,10 300,PLN,2006
BMW X5 E70,https://www.otomoto.pl/oferta/bmw-x5-bmw-x5-mpakiet-biturbo-286-km-ID6BwmJk.html#a1e7463c76,59 900,PLN,2009
BMW Seria 3 E46,https://www.otomoto.pl/oferta/bmw-seria-3-duza-navi-serwisowana-sprowadzona-bezwypadkowa-ID6BuHDP.html#a1e7463c76,11 990,PLN,2004
Maserati Levante,https://www.otomoto.pl/oferta/maserati-levante-nowy-keyless-dach-panoramiczny-kamera-cofania-ID6BuHFD.html#a1e7463c76,294 997,PLN,2018
Nissan Murano Z50,https://www.otomoto.pl/oferta/nissan-murano-murano-z50-2006r-wersja-europejska-ID6BuHCX.html#a1e7463c76,28 900,PLN,2006
